127.0.0.1 - - [14/Dec/2018:01:11:58 +0200] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:12:11 +0200] "GET / HTTP/1.1" 200 11488
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:12:11 +0200] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:12:11 +0200] "GET /tomcat.css HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:12:12 +0200] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:12:12 +0200] "GET /asf-logo-wide.svg HTTP/1.1" 200 27530
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:12:12 +0200] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:12:12 +0200] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:12:12 +0200] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:12:12 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:12:18 +0200] "GET /Hospital HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:12:19 +0200] "GET /Hospital/ HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:12:31 +0200] "GET /Hospital/reg? HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:33:49 +0200] "GET / HTTP/1.1" 200 11488
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:33:49 +0200] "GET /tomcat.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:33:49 +0200] "GET /tomcat.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:33:50 +0200] "GET /bg-nav.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:33:50 +0200] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:33:50 +0200] "GET /bg-upper.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:33:50 +0200] "GET /bg-button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:33:50 +0200] "GET /bg-middle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:33:50 +0200] "GET /favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:33:54 +0200] "GET /Hospital HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:33:55 +0200] "GET /Hospital/ HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:36:26 +0200] "GET /Hospital/ HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:36:27 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:55:52 +0200] "GET / HTTP/1.1" 200 11488
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:55:52 +0200] "GET /tomcat.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:55:52 +0200] "GET /tomcat.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:55:52 +0200] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:55:52 +0200] "GET /bg-upper.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:55:52 +0200] "GET /bg-button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:55:52 +0200] "GET /bg-nav.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:55:52 +0200] "GET /bg-middle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:55:53 +0200] "GET /favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:55:59 +0200] "GET /Hospital HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:55:59 +0200] "GET /Hospital/ HTTP/1.1" 200 9690
152.250.180.217 - - [14/Dec/2018:01:56:34 +0200] "GET / HTTP/1.1" 200 11488
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:59:37 +0200] "GET /Hospital/ HTTP/1.1" 200 9690
0:0:0:0:0:0:0:1 - - [14/Dec/2018:01:59:38 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
77.47.205.37 - - [14/Dec/2018:01:59:40 +0200] "GET /Hospital HTTP/1.1" 302 -
77.47.205.37 - - [14/Dec/2018:01:59:40 +0200] "GET /Hospital/ HTTP/1.1" 200 9734
77.47.205.37 - - [14/Dec/2018:01:59:41 +0200] "GET /favicon.ico HTTP/1.1" 200 21630
